493.125 1231.875 950.821366874233,418.125 1006.875 571.4949847768041,474.375 781.875 128.5379467923061,502.5 781.875 0,530.625 781.875 -128.5379467923061,511.875 1044.375 -553.6757920848653,755.625 1175.625 -905.0984424008695
493.125 1231.875 961.3339793054745,418.125 1025.625 571.4949847768041,474.375 800.625 128.5379467923061,502.5 800.625 0,530.625 800.625 -128.5379467923061,493.125 1044.375 -563.4858603405837,718.125 1156.875 -933.4280911755137
511.875 1231.875 957.2544683350501,418.125 1025.625 571.4949847768041,474.375 800.625 128.5379467923061,502.5 800.625 0,530.625 800.625 -128.5379467923061,474.375 1025.625 -571.4949847768041,699.375 1156.875 -935.2077033544264
530.625 1231.875 959.2342236144942,436.875 1025.625 573.4747400562483,474.375 800.625 128.5379467923061,502.5 800.625 0,530.625 800.625 -128.5379467923061,455.625 1025.625 -568.7083683337813,661.875 1156.875 -943.372056399658
549.375 1231.875 942.1744832805266,436.875 1025.625 561.4604283060293,493.125 781.875 128.5379467923061,521.25 781.875 0,549.375 781.875 -128.5379467923061,455.625 1006.875 -565.0994401698141,643.125 1175.625 -934.5662068148326
586.875 1194.375 954.6439044191611,474.375 1006.875 564.3542630563335,493.125 763.125 128.19560499713597,521.25 772.5 0,549.375 781.875 -128.19560499713597,436.875 1006.875 -560.3052554332261,605.625 1213.125 -919.6419765669345
586.875 1231.875 946.1240336284302,511.875 1006.875 566.7976515310013,511.875 763.125 130.23615815349328,530.625 763.125 0,549.375 763.125 -130.23615815349328,455.625 988.125 -566.7976515310013,586.875 1213.125 -930.5103701086235
605.625 1231.875 944.0229869489325,530.625 1006.875 564.6966048515036,511.875 763.125 128.5379467923061,540.0 763.125 0,568.125 763.125 -128.5379467923061,455.625 988.125 -560.6475972283962,549.375 1231.875 -923.8766973224341
624.375 1213.125 952.8011221536772,549.375 988.125 573.4747400562483,511.875 763.125 128.5379467923061,540.0 763.125 0,568.125 763.125 -128.5379467923061,455.625 988.125 -560.6475972283962,511.875 1231.875 -931.5389278835149
643.125 1213.125 935.8536031686616,549.375 988.125 560.721037726624,511.875 744.375 125.77312417834628,549.375 753.75 0,586.875 763.125 -125.77312417834628,493.125 988.125 -562.3346175558543,493.125 1250.625 -924.5945437899392
661.875 1213.125 948.6073054982859,568.125 988.125 573.4747400562483,530.625 763.125 128.5379467923061,558.75 763.125 0,586.875 763.125 -128.5379467923061,511.875 988.125 -568.7083683337813,474.375 1250.625 -929.0221262658433
680.625 1213.125 941.7840101752226,568.125 1006.875 561.0699552007252,530.625 763.125 126.12204165244755,568.125 763.125 0,605.625 763.125 -126.12204165244755,511.875 1006.875 -552.4984891727111,474.375 1250.625 -925.7520111321489
699.375 1213.125 946.6172346861017,586.875 1006.875 565.9031797116044,530.625 781.875 122.94614172710632,577.5 781.875 0,624.375 781.875 -122.94614172710632,511.875 1006.875 -555.0557921631964,493.125 1250.625 -929.7194802290733
718.125 1213.125 935.362271361354,568.125 1025.625 557.894055275384,530.625 781.875 122.94614172710632,577.5 781.875 0,624.375 781.875 -122.94614172710632,530.625 1025.625 -549.3225892473698,511.875 1250.625 -935.5374797618665
736.875 1213.125 938.1892538125941,586.875 1025.625 560.721037726624,549.375 781.875 125.77312417834628,586.875 791.25 0,624.375 800.625 -125.77312417834628,530.625 1025.625 -562.3346175558543,530.625 1250.625 -949.0043786636045
736.875 1213.125 938.1892538125941,586.875 1025.625 560.721037726624,549.375 781.875 125.77312417834628,586.875 791.25 0,624.375 800.625 -125.77312417834628,549.375 1025.625 -565.9435457198215,549.375 1250.625 -952.6133068275717
755.625 1213.125 938.5381712866953,605.625 1025.625 561.0699552007252,568.125 781.875 126.12204165244755,605.625 781.875 0,643.125 781.875 -126.12204165244755,568.125 1025.625 -556.192893373417,568.125 1250.625 -942.8626544811672
774.375 1194.375 947.2848457152218,624.375 1025.625 561.0699552007252,586.875 781.875 126.12204165244755,624.375 781.875 0,661.875 781.875 -126.12204165244755,568.125 1025.625 -552.4984891727111,586.875 1231.875 -949.0434162051024
793.125 1194.375 940.6117346313837,643.125 1006.875 563.1435185454136,605.625 763.125 128.19560499713597,633.75 772.5 0,661.875 781.875 -128.19560499713597,586.875 1006.875 -568.3660265386112,605.625 1250.625 -943.0297146044879
811.875 1194.375 940.6117346313837,661.875 1006.875 563.1435185454136,624.375 763.125 128.19560499713597,652.5 772.5 0,680.625 781.875 -128.19560499713597,605.625 1006.875 -568.3660265386112,605.625 1250.625 -943.4985919806488
811.875 1194.375 945.4599806372921,680.625 1006.875 561.0699552007252,643.125 763.125 126.12204165244755,680.625 763.125 0,718.125 763.125 -126.12204165244755,643.125 1006.875 -556.192893373417,624.375 1250.625 -930.8565814392937
830.625 1194.375 943.393850228721,699.375 988.125 568.7301621628443,643.125 763.125 125.77312417834628,680.625 772.5 0,718.125 781.875 -125.77312417834628,661.875 1006.875 -568.7301621628443,643.125 1231.875 -954.945052677341
849.375 1194.375 938.1892538125941,699.375 1006.875 560.721037726624,661.875 763.125 125.77312417834628,699.375 772.5 0,736.875 781.875 -125.77312417834628,661.875 1006.875 -565.9435457198215,661.875 1250.625 -941.0761111618591
868.125 1194.375 940.6117346313837,718.125 1006.875 563.1435185454136,680.625 763.125 128.19560499713597,708.75 772.5 0,736.875 781.875 -128.19560499713597,680.625 1006.875 -571.152642981634,680.625 1250.625 -946.2852084236716
